,time,"(x,y)"
0,2,"[0.53711480889230057, 1.8051420463556127]"
1,4,"[-1.453759557876352, 1.6143037489844678]"
2,6,"[-1.6445978552474969, 3.6051781157531204]"
3,8,"[0.34627651152115568, 3.7960164131242653]"
4,10,"[2.3371508782898083, 3.9868547104954111]"
5,12,"[2.5279891756609532, 1.9959803437267585]"
6,14,"[2.7188274730320985, 0.0051059769581058845]"
7,16,"[0.72795310626344589, -0.185732320413039]"
8,18,"[-1.2629212605052071, -0.37657061778418388]"
9,20,"[-3.253795627273858, -0.56740891515532921]"
10,23,"[-3.0629573299027131, -2.5582832819239814]"
11,25,"[-1.0720829631340614, -2.3674449845528365]"
12,27,"[0.91879140363459078, -2.1766066871816916]"
13,29,"[2.9096657704032438, -1.9857683898105465]"
